Game_Date	Day_of_Week	Home_Team	Day_or_Night	Home_Game_Number	Attendance	Prior_Attendance	Prior_Wins
2013-04-29	Mon	MIA	N	14	15605	26401	77
2013-04-29	Mon	MIL	N	13	21255	27157	82
2013-04-29	Mon	NYA	N	14	34262	37086	84
2013-04-29	Mon	OAK	N	15	11668	14815	88
2013-04-29	Mon	SEA	N	15	9818	15655	87
2013-04-29	Mon	SLN	N	10	36681	36345	90
2013-04-30	Tue	NYA	N	15	34301	38024	84
2013-04-30	Tue	OAK	N	16	14764	11513	88
2013-04-30	Tue	SEA	N	16	13647	18672	87
2013-04-30	Tue	TEX	N	10	40646	47942	67
2013-04-30	Tue	TOR	N	14	22915	18774	83
2013-04-30	Tue	SLN	N	11	37535	35987	90
2013-04-30	Tue	CLE	N	9	10841	12597	85
2013-04-30	Tue	DET	N	13	31748	31451	90
2013-04-30	Tue	KCA	N	11	12738	19590	89
2013-04-30	Tue	ARI	N	15	20319	30156	64
2013-04-30	Tue	ATL	N	10	19243	17181	79
2013-04-30	Tue	CHN	N	10	31303	35801	73
2013-04-30	Tue	LAN	N	14	47602	32799	94
2013-04-30	Tue	MIA	N	15	15018	25666	77
2013-04-30	Tue	MIL	N	14	24154	28108	82
2013-05-01	Wed	CLE	N	10	12730	11316	85
2013-05-01	Wed	DET	D	14	36028	30159	90
2013-05-01	Wed	KCA	N	12	11514	24153	89
2013-05-01	Wed	ARI	N	16	21277	27710	64
2013-05-01	Wed	ATL	N	11	22460	21640	79
2013-05-01	Wed	CHN	N	11	34832	37794	73
2013-05-01	Wed	LAN	N	15	32848	33993	94
2013-05-01	Wed	MIA	D	16	16188	24242	77
2013-05-01	Wed	MIL	D	15	26079	27090	82
2013-05-01	Wed	NYA	N	16	34117	37720	84
2013-05-01	Wed	OAK	D	17	17139	26721	88
2013-05-01	Wed	SEA	N	17	12947	15604	87
2013-05-01	Wed	TEX	N	11	34677	47496	67
2013-05-01	Wed	TOR	N	15	21094	25123	83
2013-05-01	Wed	SLN	D	12	39821	40601	90
2013-05-02	Thu	TEX	N	12	31199	49197	67
2013-05-02	Thu	TOR	N	16	25851	15289	83
2013-05-02	Thu	PHI	N	15	36978	45542	73
2013-05-02	Thu	HOU	N	13	16624	27201	70
2013-05-02	Thu	ATL	N	12	19806	26504	79
2013-05-02	Thu	CHN	D	12	32865	38894	73
2013-05-02	Thu	MIL	N	16	22204	40097	82
2013-05-03	Fri	CLE	N	11	20200	15421	85
2013-05-03	Fri	HOU	N	14	16719	23633	70
2013-05-03	Fri	ATL	N	13	30871	24015	79
2013-05-03	Fri	CHN	D	13	32579	34894	73
2013-05-03	Fri	COL	N	13	30255	25227	66
2013-05-03	Fri	MIL	N	17	40068	42339	82
2013-05-03	Fri	NYA	N	17	38090	37226	84
2013-05-03	Fri	TEX	N	13	42441	43475	67
2013-05-03	Fri	TOR	N	17	23779	15612	83
2013-05-03	Fri	PHI	N	16	36292	45442	73
2013-05-03	Fri	PIT	N	13	26404	10323	88
2013-05-03	Fri	SDN	N	13	31223	15154	77
2013-05-03	Fri	SFN	N	13	42113	41082	88
2013-05-04	Sat	NYA	D	18	41349	43954	84
2013-05-04	Sat	TEX	N	14	47173	48201	67
2013-05-04	Sat	TOR	D	18	35754	28915	83
2013-05-04	Sat	PHI	N	17	40091	43824	73
2013-05-04	Sat	PIT	D	14	29975	11478	88
2013-05-04	Sat	SDN	N	14	31336	18356	77
2013-05-04	Sat	SFN	N	14	41171	41135	88
2013-05-04	Sat	CLE	D	12	17830	16147	85
2013-05-04	Sat	HOU	N	15	21266	22288	70
2013-05-04	Sat	KCA	N	13	19957	29121	89
2013-05-04	Sat	CHN	D	14	36455	37332	73
